"54.352650128480384","48.5293682744723","start"
"54.353081563141984","48.529228799604134","point"
"54.353215994755416","48.5290303161369","point"
"54.353578645287755","48.52897667195691","point"
"54.35369744390423","48.52876745965332","point"
"54.35369119135387","48.52838122155522","return"
"54.3533004050791","48.52844023015339","point"
"54.35329727877385","48.52761410977718","point"
"54.353650549754356","48.52757655885083","point"
"54.35364429719738","48.5271205833182","point"
"54.353819368442466","48.526761167310084","finish"
